percentage_%,temperature_C,density_kg_m3,strain
60,20,1000,3.456E-05
70,20,1000,3.550E-05
80,20,1000,3.645E-05
90,20,1000,3.740E-05
100,20,1000,3.834E-05
0,30,1000,3.145E-05
10,30,1000,3.238E-05
20,30,1000,3.331E-05
30,30,1000,3.425E-05
40,30,1000,3.518E-05
50,30,1000,3.611E-05
60,30,1000,3.704E-05
70,30,1000,3.797E-05
80,30,1000,3.891E-05
90,30,1000,3.984E-05
100,30,1000,4.077E-05
0,40,1000,3.395E-05
10,40,1000,3.488E-05
20,40,1000,3.580E-05
30,40,1000,3.673E-05
40,40,1000,3.765E-05
50,40,1000,3.858E-05
60,40,1000,3.950E-05
70,40,1000,4.043E-05
80,40,1000,4.135E-05
90,40,1000,4.228E-05
100,40,1000,4.320E-05
0,-20,1200,2.492E-05
10,-20,1200,2.608E-05
20,-20,1200,2.724E-05
30,-20,1200,2.840E-05
40,-20,1200,2.956E-05
50,-20,1200,3.072E-05
60,-20,1200,3.188E-05
70,-20,1200,3.304E-05
80,-20,1200,3.420E-05
90,-20,1200,3.536E-05
100,-20,1200,3.652E-05
0,-10,1200,2.764E-05
10,-10,1200,2.877E-05
20,-10,1200,2.990E-05
30,-10,1200,3.103E-05
40,-10,1200,3.216E-05
50,-10,1200,3.329E-05
60,-10,1200,3.443E-05
70,-10,1200,3.556E-05
80,-10,1200,3.669E-05
90,-10,1200,3.782E-05
100,-10,1200,3.895E-05
0,0,1200,3.002E-05
10,0,1200,3.115E-05
20,0,1200,3.229E-05
30,0,1200,3.343E-05
40,0,1200,3.456E-05
50,0,1200,3.570E-05
60,0,1200,3.684E-05
70,0,1200,3.797E-05
80,0,1200,3.911E-05
90,0,1200,4.024E-05
100,0,1200,4.138E-05
0,10,1200,3.270E-05
10,10,1200,3.381E-05
20,10,1200,3.492E-05
30,10,1200,3.603E-05
40,10,1200,3.715E-05
50,10,1200,3.826E-05
60,10,1200,3.937E-05
70,10,1200,4.048E-05
80,10,1200,4.159E-05
90,10,1200,4.270E-05
100,10,1200,4.381E-05
0,20,1200,3.498E-05
10,20,1200,3.611E-05
20,20,1200,3.723E-05
30,20,1200,3.836E-05
40,20,1200,3.949E-05
50,20,1200,4.061E-05
60,20,1200,4.174E-05
70,20,1200,4.286E-05
80,20,1200,4.399E-05
90,20,1200,4.511E-05
100,20,1200,4.624E-05
0,30,1200,3.730E-05
10,30,1200,3.844E-05
20,30,1200,3.957E-05
30,30,1200,4.071E-05
40,30,1200,4.185E-05
50,30,1200,4.299E-05
60,30,1200,4.412E-05
70,30,1200,4.526E-05
80,30,1200,4.640E-05
90,30,1200,4.753E-05
100,30,1200,4.867E-05
0,40,1200,3.995E-05
10,40,1200,4.106E-05
20,40,1200,4.218E-05
30,40,1200,4.329E-05
40,40,1200,4.441E-05
50,40,1200,4.552E-05
60,40,1200,4.664E-05
70,40,1200,4.775E-05
80,40,1200,4.887E-05
90,40,1200,4.998E-05
100,40,1200,5.110E-05
0,-20,1400,3.146E-05
10,-20,1400,3.275E-05
20,-20,1400,3.405E-05
30,-20,1400,3.535E-05
40,-20,1400,3.664E-05
50,-20,1400,3.794E-05
60,-20,1400,3.923E-05
70,-20,1400,4.053E-05
80,-20,1400,4.183E-05
90,-20,1400,4.312E-05
100,-20,1400,4.442E-05
0,-10,1400,3.408E-05
10,-10,1400,3.535E-05
20,-10,1400,3.663E-05
30,-10,1400,3.791E-05
40,-10,1400,3.919E-05
50,-10,1400,4.046E-05
60,-10,1400,4.174E-05
70,-10,1400,4.302E-05
80,-10,1400,4.430E-05
90,-10,1400,4.557E-05
100,-10,1400,4.685E-05
0,0,1400,3.645E-05
10,0,1400,3.773E-05
20,0,1400,3.901E-05
30,0,1400,4.030E-05
40,0,1400,4.158E-05
50,0,1400,4.286E-05
60,0,1400,4.415E-05
70,0,1400,4.543E-05
80,0,1400,4.671E-05
90,0,1400,4.800E-05
100,0,1400,4.928E-05
0,10,1400,3.894E-05
10,10,1400,4.021E-05
20,10,1400,4.149E-05
30,10,1400,4.277E-05
40,10,1400,4.405E-05
50,10,1400,4.532E-05
60,10,1400,4.660E-05
70,10,1400,4.788E-05
80,10,1400,4.916E-05
90,10,1400,5.043E-05
100,10,1400,5.171E-05
0,20,1400,4.089E-05
10,20,1400,4.222E-05
20,20,1400,4.354E-05
30,20,1400,4.487E-05
40,20,1400,4.619E-05
50,20,1400,4.752E-05
60,20,1400,4.884E-05
70,20,1400,5.017E-05
80,20,1400,5.149E-05
90,20,1400,5.282E-05
100,20,1400,5.414E-05
0,30,1400,4.368E-05
10,30,1400,4.497E-05
20,30,1400,4.626E-05
30,30,1400,4.755E-05
40,30,1400,4.884E-05
50,30,1400,5.013E-05
60,30,1400,5.142E-05
70,30,1400,5.270E-05
80,30,1400,5.399E-05
90,30,1400,5.528E-05
100,30,1400,5.657E-05
0,40,1400,4.631E-05
10,40,1400,4.758E-05
20,40,1400,4.885E-05
30,40,1400,5.012E-05
40,40,1400,5.139E-05
50,40,1400,5.266E-05
60,40,1400,5.393E-05
70,40,1400,5.519E-05
80,40,1400,5.646E-05
90,40,1400,5.773E-05
100,40,1400,5.900E-05
